support,itemsets,length,support_count
0.084741192142082,frozenset({'智能手机'}),1,9151838
0.0838391898894931,frozenset({'零食'}),1,9054424
0.08216874401542931,frozenset({'笔记本电脑'}),1,8874020
0.08836293295013192,frozenset({'模型'}),1,9542977
0.08148840427464288,frozenset({'儿童课外读物'}),1,8800545
0.08050787243591434,frozenset({'婴儿用品'}),1,8694650
0.07785390391350956,frozenset({'玩具'}),1,8408028
0.08312284006021509,frozenset({'耳机'}),1,8977060
0.08278773049153455,frozenset({'裤子'}),1,8940869
0.08019892087700205,frozenset({'平板电脑'}),1,8661284
0.07626778405536061,frozenset({'水产'}),1,8236731
0.07527514082662255,frozenset({'调味品'}),1,8129528
0.08771322354432365,frozenset({'文具'}),1,9472810
0.08252539111710841,frozenset({'益智玩具'}),1,8912537
0.07789141403654361,frozenset({'蛋奶'}),1,8412079
0.08023292165996453,frozenset({'帽子'}),1,8664956
0.07890337252488397,frozenset({'米面'}),1,8521368
0.07791954431395101,frozenset({'床上用品'}),1,8415117
0.07358276852171587,frozenset({'音响'}),1,7946756
0.08800312836833567,frozenset({'围巾'}),1,9504119
0.07851588212035956,frozenset({'蔬菜'}),1,8479520
0.07724541767920155,frozenset({'汽车装饰'}),1,8342313
0.07661796804524564,frozenset({'办公用品'}),1,8274550
0.08147145018052407,frozenset({'内衣'}),1,8798714
0.08017683703512692,frozenset({'相机'}),1,8658899
0.08018999474552715,frozenset({'肉类'}),1,8660320
0.07690685432728438,frozenset({'上衣'}),1,8305749
0.0722908221043942,frozenset({'摄像机'}),1,7807229
0.0798894785660481,frozenset({'家具'}),1,8627865
0.0811549799299545,frozenset({'外套'}),1,8764536
0.07361375997612093,frozenset({'鞋子'}),1,7950103
0.07857736501765554,frozenset({'手套'}),1,8486160
0.08216197534104328,frozenset({'健身器材'}),1,8873289
0.08404760209617049,frozenset({'裙子'}),1,9076932
0.08018217975075037,frozenset({'车载电子'}),1,8659476
0.08607284317741651,frozenset({'卫浴用品'}),1,9295653
0.08184011607748783,frozenset({'智能手表'}),1,8838529
0.0850373748884384,frozenset({'饮料'}),1,9183825
0.07722042636296635,frozenset({'厨具'}),1,8339614
0.07755478591437565,frozenset({'户外装备'}),1,8375724
0.08574152999245455,frozenset({'水果'}),1,9259872
0.08281615707206147,frozenset({'游戏机'}),1,8943939
