当前月份类别,智能手机,婴儿用品,儿童课外读物,模型,玩具,蔬菜,耳机,健身器材,游戏机,益智玩具,水果,零食,平板电脑,调味品,水产,肉类,卫浴用品,家具,车载电子,厨具,米面,饮料,裤子,笔记本电脑,户外装备,智能手表,外套,办公用品,汽车装饰,文具,裙子,帽子,床上用品,音响,蛋奶,围巾,鞋子,上衣,摄像机,内衣,手套,相机
水果,8727579608086,8276610786518,8380366685436,9114775661213,7993144059688,8064196144680,8554525904390,8452811164397,8520247712150,8489945294913,8833873462368,8628812572009,8241687443151,7720780550013,7825701324986,8242483409647,8869467359322,8209684836133,8240832132343,7928182504499,8103481866441,8758975913877,8520664713739,8452383589508,7962194506305,8415870655407,8345875424183,7861774755899,7930151091362,9045081730218,8654309909066,8247160509127,8000613431397,7542166870650,7998703971025,9075704519185,7544839207894,7893442156188,7404212124455,8378742773516,8069628447521,8240747992574
车载电子,8141238932797,7720569869108,7817359513492,8502429585952,7456149383097,7522429493995,7979815399529,7884928700056,7947845093491,7919574934177,8240395289389,8049119243049,7687994573207,7202083205077,7299948220313,7688726109194,8273601779055,7658135999660,7687189010279,7395554338198,7559077609993,8170531968670,7948224739541,7884539987466,7427276745807,7850471138712,7785172819712,7333601131776,7397382483512,8437409171978,8072892334734,7693099912897,7463108552048,7035464790840,7461336069379,8465976131446,7037955977947,7363140589198,6906779720424,7815838847984,7527497300819,7687122669994
卫浴用品,8762505693386,8309741352463,8413899614955,9151254591941,8025134192484,8096471141547,8588765508355,8486640074254,8554343856729,8523920989521,8869227146824,8663351617829,8274671369965,7751682339380,7857023353209,8275466259520,8904960953113,8242540588869,8273806087886,7959919323162,8135910763328,8794030967384,8554761839790,8486213577117,7994061089826,8449546154112,8379271218753,7893240289377,7961894421559,9081282643382,8688950141495,8280174527665,8032627761269,7572353927418,8030717373424,9112031946905,7575030728020,7925031615262,7433841443594,8412275713630,8101923419794,8273732215028
上衣,7798465714840,7395505305179,7488216991570,8144446173413,7142217628610,7205704672315,7643835282724,7552946870711,7613206432419,7586128347780,7893445067524,7710212433668,7364297234878,6898845229225,6992597610658,7365009830200,7925247573818,7335706874888,7363538132249,7084172420590,7240803902405,7826517673257,7613576426857,7552571286694,7114560471294,7519938404877,7457395142970,7024830440338,7085929957367,8082169295208,7732996527220,7369190619100,7148889115895,6739247909215,7147187007586,8109528085648,6741634510667,7053130809340,6615981221886,7486765892144,7210557508921,7363461513282
智能手机,8622368761008,8176836659921,8279341153496,9004900421025,7896787980412,7966982906655,8451401654096,8350912657163,8417536599528,8387600814113,8727382657919,8524796151093,8142334583388,7627706359550,7731360816950,8143116945065,8762545399966,8110716348802,8141487970812,7832610543734,8005797427510,8653385381355,8417947505816,8350492699365,7866211530199,8314416596767,8245261541189,7767001392230,7834552811849,8936042425648,8549981220318,8147740035772,7904163493165,7451245395478,7902281580416,8966295623077,7453883984629,7798287181789,7314955432363,8277736843672,7972351263085,8141408852667
厨具,7832326429519,7427620760773,7520728571294,8179808432506,7173227980061,7236989648019,7677026758797,7585738893842,7646267016692,7619062195326,7927716652289,7743694869838,7396281642892,6928804560481,7022960489738,7396983880079,7959661823827,7367556639157,7395508370153,7114933587390,7272243093128,7860506696145,7646634794985,7585363493385,7145453893180,7552593286371,7489777392989,7055331379807,7116700008398,8117259008683,7766572664971,7401192831295,7179930094117,6768510772693,7178215991766,8144746872530,6770906232449,7083754008876,6644702953906,7519274760723,7241869076415,7395435706132
围巾,8965882863418,8502602384542,8609183829732,9363649725224,8211392675042,8284382330906,8788105784470,8683609353235,8752890899963,8721754474327,9075077533408,8864423007989,8466729743139,7931592749763,8039379554764,8467533585544,9111642798910,8433846446263,8465848710132,8144663760540,8324739647286,8998140358808,8753316964708,8683175248577,8179601951192,8645663310151,8573756082558,8076434687576,8146681735315,9292050462358,8890614927397,8472349410959,8219061313239,7748102870367,8217106408769,9323521410611,7750841750822,8108966645862,7606375191369,8607521395194,8289968727607,8465766059890
内衣,8277601446587,7849886323019,7948287305878,8644840441806,7581033689769,7648421380187,8113470716769,8016998522686,8080960378249,8052217055008,8378415885514,8183932360422,7816761818407,7322709936459,7422221046498,7817511265313,8412172462876,7786407837300,7815949079229,7519421548845,7685682834243,8307376547872,8081353009280,8016597924911,7551680556632,7981961954118,7915571714491,7456437128038,7521290394307,8578732463285,8208107714938,7821951313353,7588114564774,7153305894163,7586308092171,8607776258569,7155838186475,7486473100020,7022465293886,7946749945150,7653575407531,7815871799730
鞋子,7454245749857,7069081185538,7157691532398,7784955382160,6826965410059,6887656441709,7306445682271,7219565853142,7277168239990,7251279515079,7545034573964,7369893959928,7039249817527,6594345219214,6683956427775,7039924995064,7575436329297,7011917636105,7038510742234,6771486798178,6921203019464,7481067800343,7277523544726,7219207501904,6800531999619,7188017180333,7128237307067,6714765230097,6773164645779,7725427282995,7391677500617,7043927208074,6833343267931,6441785096004,6831716060132,7751591872047,6444066330209,6741810153482,6323956163286,7156303157839,6892290931603,7038450319361
肉类,8143547930633,7722766710838,7819574844068,8504843042168,7458265279632,7524569685036,7982081556976,7887168629851,7950098313694,7921816857331,8242733328471,8051398723218,7690179510092,7204130739281,7302029903708,7690916228282,8275947978362,7660316045374,7689372215579,7397654752886,7561219762331,8172850445824,7950489084501,7886777573811,7429385050302,7852705821886,7787393999162,7335687620819,7399487214868,8439807592345,8075194029507,7695282388410,7465233136659,7037464684291,7463453957252,8468389702191,7039960450432,7365233874616,6908745077912,7818052006303,7529626921659,7689304085478
零食,8525008455316,8084515034161,8185855068528,8903216283672,7807619245757,7877025770615,8355973846159,8256617490752,8322493354374,8292891636145,8628840817267,8428541144450,8050402319915,7541579106558,7644065416146,8051166084508,8663601051019,8019142932310,8049551063195,7744172372484,7915393382622,8555687550753,8322899938633,8256203643816,7777397112067,8220537970460,8152160651624,7679299319790,7746092308221,8835133942632,8453443445489,8055747640390,7814913203109,7367107696786,7813047640559,8865065150205,7369718358581,7710229386747,7232354615062,8184266206234,7882336607815,8049484627645
笔记本电脑,8350415750371,7918937867931,8018210440448,8720881307400,7647721663458,7715701118317,8184844356246,8087521640694,8152046941915,8123052275714,8452116691626,8255921597613,7885523535628,7387124098993,7487513016478,7886282037728,8486173489902,7854901292628,7884703997490,7585569086175,7753285795968,8380459820190,8152440930236,8087115480893,7618107810886,8052175669139,7985205884586,7522025966854,7587452712224,8654200702933,8280313824110,7890764096572,7654864972664,7216232284168,7653039388030,8683497907104,7218787581783,7552325131275,7084236529135,8016656691693,7720897820206,7884623864205
